Operation: R17, Current Value: 67, Part1: 0, Part2: 0
Operation: L19, Current Value: 48, Part1: 0, Part2: 0
Operation: R24, Current Value: 72, Part1: 0, Part2: 0
Operation: R37, Current Value: 9, Part1: 0, Part2: 1
Operation: R29, Current Value: 38, Part1: 0, Part2: 1
Operation: R37, Current Value: 75, Part1: 0, Part2: 1
Operation: R35, Current Value: 10, Part1: 0, Part2: 2
Operation: R40, Current Value: 50, Part1: 0, Part2: 2
Operation: L7, Current Value: 43, Part1: 0, Part2: 2
Operation: L37, Current Value: 6, Part1: 0, Part2: 2
Operation: L45, Current Value: 61, Part1: 0, Part2: 3
Operation: R44, Current Value: 5, Part1: 0, Part2: 4
Operation: R2, Current Value: 7, Part1: 0, Part2: 4
Operation: R12, Current Value: 19, Part1: 0, Part2: 4
Operation: L44, Current Value: 75, Part1: 0, Part2: 5
Operation: R31, Current Value: 6, Part1: 0, Part2: 6
Operation: L29, Current Value: 77, Part1: 0, Part2: 7
Operation: R34, Current Value: 11, Part1: 0, Part2: 8
Operation: R9, Current Value: 20, Part1: 0, Part2: 8
Operation: R22, Current Value: 42, Part1: 0, Part2: 8
Operation: R44, Current Value: 86, Part1: 0, Part2: 8
Operation: R30, Current Value: 16, Part1: 0, Part2: 9
Operation: L22, Current Value: 94, Part1: 0, Part2: 10
Operation: R13, Current Value: 7, Part1: 0, Part2: 11
Operation: L3, Current Value: 4, Part1: 0, Part2: 11
Operation: R5, Current Value: 9, Part1: 0, Part2: 11
Operation: L43, Current Value: 66, Part1: 0, Part2: 12
Operation: R31, Current Value: 97, Part1: 0, Part2: 12
Operation: R47, Current Value: 44, Part1: 0, Part2: 13
Operation: R43, Current Value: 87, Part1: 0, Part2: 13
Operation: R11, Current Value: 98, Part1: 0, Part2: 13
Operation: R47, Current Value: 45, Part1: 0, Part2: 14
Operation: L34, Current Value: 11, Part1: 0, Part2: 14
Operation: L43, Current Value: 68, Part1: 0, Part2: 15
Operation: R40, Current Value: 8, Part1: 0, Part2: 16
Operation: R29, Current Value: 37, Part1: 0, Part2: 16
Operation: L4, Current Value: 33, Part1: 0, Part2: 16
